"id","child_age","age","sex","education","race","latino","metropolis","employment","employment_type","partner_in_house","n_of_children","work_hours","day","day_off","elderly_care","childcare","sleep","insomnia","getting_ready","in_house","in_garden","vehicles","time_with_children","school_children","doctor_children","work","hobby_income","courses","shopping","services","departments","free_time","culture","sport","watching_sport","religion","phone","travel","any_children","earnings"
898,NA,56,"M","secondary","black","non-latino","metropolis","unemployed",NA,"no partner",0,NA,"tuesday",FALSE,NA,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,60,0,0,0,NA
899,NA,80,"F","secondary","black","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"tuesday",FALSE,NA,0,760,0,50,113,0,20,0,0,0,0,0,0,20,75,0,243,0,0,0,0,12,12,0,NA
900,12,46,"F","tertiary","asian","non-latino","metropolis","employed","full-time","partner",1,35,"sunday",FALSE,NA,555,480,0,0,105,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,120,0,95,1,512.5
901,NA,64,"F","secondary","white","non-latino","metropolis","employed","full-time","no partner",0,42,"saturday",FALSE,NA,0,448,0,87,0,0,0,0,0,0,685,0,0,0,0,0,40,0,0,0,0,0,40,0,583.86
902,7,42,"F","secondary","white","latino","metropolis","employed","half-time","partner",2,10,"friday",FALSE,NA,200,390,0,45,170,0,0,45,75,0,0,0,0,35,0,0,110,0,0,0,0,0,225,1,NA
903,9,43,"M","primary","white","latino","metropolis","not in the labor force",NA,"partner",2,NA,"tuesday",FALSE,NA,351,620,0,20,12,0,0,73,20,0,0,0,0,0,0,0,213,0,90,0,0,0,119,1,NA
904,NA,41,"M","secondary","black","non-latino","metropolis","employed","full-time","no partner",0,56,"saturday",FALSE,NA,0,480,0,65,20,0,0,0,0,0,0,0,0,60,0,0,585,0,0,0,0,0,20,0,865.38
905,NA,47,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",0,40,"saturday",FALSE,NA,0,520,0,60,60,0,0,0,0,0,90,0,0,0,0,0,417,0,0,0,0,0,13,0,NA
906,NA,65,"M","tertiary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"thursday",FALSE,NA,0,600,0,0,120,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,NA
907,3,58,"F","tertiary","white","non-latino","non-metropolis","employed","full-time","partner",1,35,"saturday",FALSE,NA,610,465,0,58,280,70,0,92,0,0,0,0,0,15,0,0,40,143,0,0,15,0,34,1,525
908,NA,72,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"tuesday",FALSE,NA,0,540,0,90,15,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,NA
909,15,51,"F","tertiary","other","non-latino","metropolis","employed","full-time","partner",1,40,"saturday",FALSE,NA,0,460,0,10,340,0,0,64,0,0,150,0,0,10,0,0,250,0,0,0,0,20,95,1,1076.92
910,NA,79,"F","secondary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,80,0,480,0,80,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,145,60,70,0,NA
911,16,41,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",1,54,"sunday",FALSE,NA,0,585,0,45,120,180,0,0,0,0,25,0,0,0,0,0,120,0,240,0,0,0,64,1,1153.84
912,NA,57,"F","secondary","white","non-latino","metropolis","employed","full-time","no partner",0,45,"sunday",FALSE,3,0,510,0,60,0,0,0,0,0,0,60,0,0,30,0,0,212,0,0,0,60,0,145,0,923.07
913,NA,19,"F","secondary","white","non-latino","metropolis","employed","half-time","partner",0,31,"monday",FALSE,NA,0,720,0,30,210,0,0,0,0,0,225,0,0,45,0,0,0,0,0,0,0,0,90,0,380
914,12,38,"F","tertiary","black","non-latino","metropolis","employed","full-time","partner",1,40,"sunday",FALSE,NA,780,550,0,75,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,155,0,135,1,903.84
915,NA,31,"M","primary","white","latino","metropolis","employed","full-time","no partner",0,40,"sunday",FALSE,NA,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,0,60,60,50,0,350
916,8,33,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",1,NA,"sunday",FALSE,NA,735,585,0,60,160,0,0,15,0,0,0,0,0,180,0,0,75,170,0,0,0,0,45,1,NA
917,7,34,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",3,50,"friday",FALSE,NA,330,500,0,40,0,0,0,0,0,0,490,0,0,5,0,0,270,0,0,0,0,0,60,1,1125
918,3,46,"M","tertiary","white","non-latino","non-metropolis","employed","full-time","partner",1,50,"monday",FALSE,NA,60,510,0,30,0,0,0,135,0,0,510,0,0,0,0,0,120,0,45,0,0,0,0,1,1923.07
919,5,50,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",2,50,"friday",FALSE,NA,0,410,0,30,0,0,0,14,0,0,490,0,0,0,0,0,240,0,0,0,0,0,26,1,2115
920,NA,56,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",0,60,"saturday",FALSE,NA,0,579,0,0,180,0,0,0,0,0,0,0,0,0,0,0,644,0,0,0,0,0,2,0,961.53
921,11,53,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",1,35,"sunday",FALSE,NA,840,600,0,30,30,60,0,0,0,0,0,0,0,0,0,0,555,0,30,0,0,0,35,1,476.19
922,NA,54,"F","tertiary","black","latino","metropolis","employed","full-time","partner",0,50,"monday",FALSE,NA,0,600,0,0,180,0,0,0,0,0,0,0,0,120,0,0,162,0,0,0,0,60,53,0,NA
923,10,37,"F","secondary","white","latino","metropolis","employed","full-time","no partner",2,40,"monday",FALSE,NA,215,480,0,20,0,0,0,10,0,0,495,0,0,85,0,0,114,0,0,0,0,0,156,1,NA
924,4,45,"F","incomplete primary","white","latino","metropolis","not in the labor force",NA,"partner",1,NA,"friday",FALSE,NA,800,457,0,20,200,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,75,30,0,1,NA
925,NA,78,"F","tertiary","asian","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"monday",FALSE,NA,0,620,0,90,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,149,0,40,0,NA
926,12,47,"F","tertiary","white","non-latino","metropolis","employed","full-time","partner",2,40,"wednesday",FALSE,NA,25,450,0,30,0,0,0,15,0,0,530,0,0,20,0,0,195,0,0,0,0,0,65,1,700
927,NA,71,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"sunday",FALSE,NA,0,615,0,30,150,0,0,0,0,0,0,0,0,30,0,0,480,0,0,0,0,0,12,0,NA
928,4,38,"F","incomplete primary","white","latino","metropolis","unemployed",NA,"no partner",3,NA,"friday",FALSE,NA,660,630,0,0,240,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,1,NA
929,1,28,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",1,NA,"wednesday",FALSE,NA,360,570,60,60,0,0,0,200,0,0,0,0,0,0,0,0,320,0,0,0,0,0,70,1,NA
930,NA,75,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"tuesday",FALSE,NA,0,630,0,45,0,0,0,0,0,0,0,0,0,70,0,0,180,0,0,0,0,0,75,0,NA
931,14,50,"F","tertiary","white","non-latino","metropolis","employed","half-time","partner",1,20,"monday",FALSE,NA,0,465,0,60,0,0,0,5,0,0,425,0,0,0,0,0,90,0,20,0,0,15,55,1,NA
932,NA,55,"M","secondary","white","latino","metropolis","employed","full-time","no partner",0,44,"monday",FALSE,NA,0,480,0,45,0,0,0,0,0,0,524,0,0,5,0,0,190,0,0,0,0,0,111,0,1346.15
933,11,52,"F","tertiary","white","non-latino","metropolis","employed","half-time","partner",1,NA,"saturday",FALSE,NA,501,450,0,34,160,0,0,69,0,0,0,0,0,0,0,0,245,0,90,0,0,2,135,1,416
934,NA,22,"M","secondary","white","latino","metropolis","employed","half-time","no partner",0,25,"saturday",FALSE,NA,0,825,0,30,0,0,0,0,0,0,380,0,0,0,0,0,120,0,60,0,0,0,10,0,222
935,2,39,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",2,NA,"friday",FALSE,NA,355,450,0,120,0,0,0,5,0,0,0,0,0,10,0,0,180,0,90,0,0,120,62,1,NA
936,13,55,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",1,40,"saturday",FALSE,NA,0,450,0,0,0,0,0,0,0,0,495,0,0,0,0,0,150,0,0,0,0,0,30,1,510
937,NA,35,"M","secondary","white","latino","non-metropolis","employed","full-time","no partner",0,65,"tuesday",FALSE,NA,0,460,0,0,0,0,0,0,0,0,800,0,0,30,0,0,60,0,0,0,0,0,30,0,650
938,NA,23,"M","secondary","black","non-latino","metropolis","employed","half-time","no partner",0,19,"tuesday",FALSE,NA,0,90,0,0,0,0,0,0,0,0,345,0,0,0,0,0,945,0,0,0,0,0,60,0,149.15
939,1,28,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",1,40,"wednesday",FALSE,NA,250,480,0,85,0,0,0,0,0,0,460,0,0,0,0,0,205,0,60,0,0,0,50,1,900
940,2,32,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",3,43,"monday",FALSE,NA,144,450,0,10,0,0,0,40,0,0,555,0,0,0,0,0,279,0,0,0,0,0,16,1,1250
941,NA,63,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"monday",FALSE,NA,0,568,0,145,15,0,0,0,0,0,0,0,0,13,0,0,175,0,0,0,0,33,115,0,NA
942,NA,80,"F","tertiary","white","non-latino","metropolis","unemployed",NA,"partner",0,NA,"sunday",FALSE,NA,0,660,0,60,135,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,150,0,0,NA
943,NA,45,"M","tertiary","white","non-latino","metropolis","employed","full-time","no partner",0,45,"friday",FALSE,NA,0,495,0,20,0,0,0,0,0,0,553,0,0,15,0,0,215,0,0,0,0,0,52,0,2019.23
944,4,24,"F","secondary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",1,NA,"thursday",FALSE,NA,690,720,0,0,150,0,0,30,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,1,NA
945,6,31,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",1,40,"friday",FALSE,NA,117,330,0,20,60,0,0,15,0,0,554,0,0,45,0,0,204,0,0,0,0,0,55,1,1011.4
946,7,45,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",1,NA,"sunday",FALSE,NA,685,510,90,70,0,0,0,55,60,0,0,0,0,0,75,0,135,0,30,0,0,0,20,1,NA
947,14,48,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",1,NA,"monday",FALSE,NA,0,775,0,90,450,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,NA
948,NA,32,"M","tertiary","asian","non-latino","metropolis","employed","full-time","no partner",0,45,"friday",FALSE,NA,0,658,0,0,0,0,0,0,0,0,420,0,0,0,0,0,60,0,0,0,0,0,4,0,1442.3
949,NA,56,"M","secondary","white","non-latino","metropolis","employed","full-time","no partner",0,40,"saturday",FALSE,NA,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,923.07
950,12,65,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",1,40,"tuesday",FALSE,NA,90,510,0,30,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,30,1,NA
951,NA,66,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",0,45,"monday",FALSE,NA,0,450,0,45,0,0,0,0,0,0,545,0,0,0,0,0,95,0,0,0,0,0,60,0,553
952,NA,43,"F","secondary","white","non-latino","metropolis","unemployed",NA,"no partner",0,NA,"sunday",FALSE,NA,0,725,0,75,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,60,0,0,NA
953,NA,80,"F","tertiary","white","latino","non-metropolis","not in the labor force",NA,"partner",0,NA,"sunday",FALSE,NA,0,675,0,45,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,NA
954,NA,62,"F","tertiary","white","non-latino","metropolis","employed","full-time","partner",0,35,"saturday",FALSE,NA,0,620,0,5,272,0,0,0,0,0,0,0,0,0,8,0,330,0,0,0,45,0,20,0,576.92
955,8,50,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",2,40,"thursday",FALSE,NA,240,360,0,10,30,0,0,180,60,0,450,0,0,25,0,0,195,0,0,0,0,0,35,1,NA
956,NA,58,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"saturday",FALSE,NA,0,395,0,0,300,0,0,0,0,0,0,0,0,0,0,0,315,0,60,0,0,0,20,0,NA
957,NA,85,"F","secondary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"saturday",FALSE,NA,0,540,0,60,60,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,20,0,0,NA
958,16,16,"F","primary","white","non-latino","metropolis","not in the labor force",NA,"no partner",1,NA,"saturday",FALSE,60,0,700,0,40,60,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,35,125,1,NA
959,2,36,"F","tertiary","white","non-latino","metropolis","not in the labor force",NA,"partner",1,NA,"saturday",FALSE,NA,575,575,0,20,60,45,0,180,0,0,0,0,0,0,0,0,200,0,120,0,0,0,0,1,NA
960,9,47,"F","tertiary","white","non-latino","non-metropolis","employed","full-time","partner",2,52,"sunday",FALSE,60,623,637,0,0,10,0,0,45,120,0,0,0,0,50,0,0,270,0,0,0,0,0,83,1,1500
961,NA,62,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"friday",FALSE,NA,0,600,0,65,320,0,0,0,0,0,0,0,0,10,0,0,240,0,30,0,0,0,50,0,NA
962,12,44,"M","tertiary","white","non-latino","metropolis","employed","full-time","no partner",1,40,"saturday",FALSE,60,0,630,0,0,120,0,0,0,0,0,0,0,0,0,0,0,509,0,0,0,0,0,44,1,1300
963,4,33,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",2,55,"sunday",FALSE,NA,780,600,40,10,0,0,0,20,0,0,5,0,0,150,0,0,560,0,0,0,0,0,15,1,1000
964,NA,70,"M","secondary","white","non-latino","non-metropolis","employed","half-time","no partner",0,25,"tuesday",FALSE,NA,0,420,0,0,20,0,0,0,0,0,0,0,0,55,0,0,435,0,60,0,0,0,95,0,525
965,12,15,"F","primary","other","non-latino","non-metropolis","not in the labor force",NA,"no partner",3,NA,"monday",FALSE,NA,0,530,0,70,10,0,0,0,0,0,0,0,500,0,0,0,105,0,30,0,0,0,40,1,NA
966,NA,52,"F","secondary","black","non-latino","non-metropolis","employed","full-time","partner",0,37,"thursday",FALSE,NA,0,433,0,47,10,0,0,0,0,0,540,0,0,0,0,0,205,0,0,0,0,0,50,0,450
967,8,39,"M","secondary","white","non-latino","non-metropolis","employed","full-time","partner",3,40,"thursday",FALSE,NA,210,630,0,15,30,0,0,195,60,0,0,0,0,0,0,0,355,0,0,0,0,0,0,1,750
968,4,34,"F","tertiary","white","latino","metropolis","employed","full-time","partner",2,45,"sunday",FALSE,NA,600,615,0,45,60,0,0,75,30,0,130,0,0,30,0,0,150,0,0,0,0,0,55,1,1153.84
969,NA,63,"M","primary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"wednesday",FALSE,NA,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,0,0,0,0,0,0,0,NA
970,16,54,"F","tertiary","white","non-latino","non-metropolis","employed","half-time","partner",1,23,"monday",FALSE,NA,0,490,0,30,270,0,0,45,0,0,30,0,0,0,0,0,75,0,0,0,0,0,0,1,220
971,2,32,"F","primary","white","non-latino","metropolis","not in the labor force",NA,"partner",3,NA,"friday",FALSE,NA,760,420,0,0,475,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,NA
972,3,33,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",1,NA,"thursday",FALSE,NA,470,615,45,0,120,0,0,142,60,0,0,0,0,0,0,0,348,0,0,0,0,0,0,1,NA
973,NA,57,"F","secondary","black","non-latino","metropolis","employed","full-time","no partner",0,NA,"friday",FALSE,NA,0,270,0,65,0,0,0,0,0,0,570,0,0,0,0,0,120,0,0,0,0,0,315,0,500
974,NA,27,"M","secondary","white","non-latino","metropolis","employed","full-time","no partner",0,45,"monday",FALSE,NA,0,750,0,0,90,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,30,0,750
975,NA,35,"M","secondary","black","non-latino","metropolis","employed","full-time","no partner",0,38,"saturday",FALSE,NA,0,435,0,75,0,0,0,0,0,0,0,0,0,10,45,0,130,0,0,0,0,180,85,0,778
976,16,46,"F","secondary","black","non-latino","non-metropolis","unemployed",NA,"no partner",1,NA,"wednesday",FALSE,NA,0,360,0,105,48,0,0,22,70,0,0,0,0,30,0,0,145,0,0,195,0,0,120,1,NA
977,8,40,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",3,NA,"friday",FALSE,NA,750,600,0,0,0,0,0,90,0,0,0,0,0,80,0,0,485,0,20,0,20,0,20,1,NA
978,12,17,"M","primary","white","non-latino","metropolis","unemployed",NA,"no partner",2,NA,"sunday",FALSE,NA,0,805,0,20,0,0,0,0,0,0,0,0,0,7,0,0,320,163,0,0,0,0,65,1,NA
979,NA,59,"F","secondary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,NA
980,2,22,"F","secondary","white","latino","non-metropolis","not in the labor force",NA,"no partner",3,NA,"saturday",FALSE,NA,625,535,0,60,284,0,0,120,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,1,NA
981,NA,78,"M","tertiary","black","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"friday",FALSE,NA,0,590,0,45,75,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,15,0,0,NA
982,3,32,"F","secondary","asian","non-latino","metropolis","employed","half-time","no partner",3,25,"sunday",FALSE,NA,255,780,0,0,0,0,0,315,60,0,0,0,0,15,0,0,80,0,0,0,105,0,70,1,300
983,NA,68,"M","secondary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"saturday",FALSE,NA,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,NA
984,NA,61,"F","secondary","black","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,NA
985,9,47,"M","secondary","white","non-latino","metropolis","employed","full-time","partner",2,58,"sunday",FALSE,NA,600,505,0,80,20,0,0,120,0,0,0,0,0,0,0,0,293,0,0,0,175,0,50,1,1425
986,9,59,"M","primary","white","latino","metropolis","employed","full-time","no partner",1,99,"saturday",FALSE,NA,0,1006,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,30,1,NA
987,0,35,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",3,50,"saturday",FALSE,NA,290,465,0,30,0,0,0,170,0,0,65,0,0,0,0,0,315,0,0,0,0,10,40,1,1730.76
988,NA,52,"F","secondary","white","non-latino","non-metropolis","employed","half-time","partner",0,NA,"tuesday",FALSE,NA,0,600,0,20,150,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,2,0,637.5
989,NA,52,"M","secondary","white","latino","metropolis","employed","full-time","no partner",0,40,"saturday",FALSE,NA,0,483,0,59,0,0,0,0,0,0,448,0,0,0,0,0,255,0,0,0,0,0,52,0,360
990,11,48,"F","tertiary","white","non-latino","metropolis","employed","full-time","no partner",3,50,"sunday",FALSE,NA,150,600,0,60,105,0,0,245,90,0,0,0,0,60,0,0,120,0,0,0,0,0,50,1,2884.61
991,4,67,"F","incomplete primary","other","non-latino","metropolis","not in the labor force",NA,"no partner",1,NA,"sunday",FALSE,NA,0,840,0,60,60,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,60,0,29,1,NA
992,NA,56,"F","tertiary","black","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,920,0,30,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,NA
993,1,32,"M","primary","white","non-latino","metropolis","unemployed",NA,"partner",3,NA,"friday",FALSE,NA,520,510,0,0,345,0,0,305,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,1,NA
994,NA,75,"F","secondary","white","non-latino","metropolis","employed","half-time","no partner",0,34,"saturday",FALSE,NA,0,525,0,20,0,0,0,0,0,0,620,0,0,30,0,0,96,0,0,0,0,0,34,0,455.26
995,NA,54,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"saturday",FALSE,NA,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0,NA
996,NA,64,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"thursday",FALSE,NA,0,585,0,30,0,0,0,0,0,0,0,0,0,90,0,0,110,0,15,0,0,35,140,0,NA
997,NA,76,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"saturday",FALSE,NA,0,210,0,0,120,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,30,0,NA
998,NA,67,"M","incomplete primary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"saturday",FALSE,NA,0,552,0,30,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,18,0,NA
999,NA,80,"M","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"wednesday",FALSE,NA,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,20,0,NA
1000,8,15,"M","primary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",3,NA,"friday",FALSE,NA,90,450,0,20,0,0,0,10,0,0,0,0,405,0,0,0,245,0,90,0,0,60,100,1,NA
1001,NA,59,"M","secondary","white","non-latino","metropolis","unemployed",NA,"no partner",0,NA,"saturday",FALSE,NA,0,355,0,138,5,0,0,0,0,0,0,0,0,120,0,0,425,0,90,0,0,0,130,0,NA
1002,NA,59,"F","tertiary","white","latino","metropolis","employed","half-time","no partner",0,20,"sunday",FALSE,NA,0,680,0,10,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,190
1003,NA,63,"M","secondary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"wednesday",FALSE,NA,0,300,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1080,0,0,0,0,0,35,0,NA
1004,NA,53,"M","secondary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"monday",FALSE,NA,0,720,0,60,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,NA
1005,8,51,"F","incomplete primary","white","latino","metropolis","employed","full-time","no partner",3,35,"sunday",FALSE,NA,780,600,0,0,75,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90,1,400
1006,NA,64,"F","tertiary","white","non-latino","metropolis","unemployed",NA,"no partner",0,NA,"wednesday",FALSE,180,0,750,0,30,60,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,10,0,NA
1007,0,24,"F","secondary","black","non-latino","metropolis","employed","full-time","no partner",1,40,"sunday",FALSE,NA,955,395,0,230,0,0,0,90,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,1,520
1008,0,39,"M","tertiary","white","non-latino","metropolis","employed","full-time","partner",1,35,"saturday",FALSE,NA,56,475,0,20,5,0,0,35,0,0,555,0,0,20,0,0,125,0,0,0,0,0,57,1,NA
1009,NA,54,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"thursday",FALSE,NA,0,420,0,90,15,0,0,0,0,0,0,0,0,105,0,0,510,0,0,0,0,120,0,0,NA
1010,13,17,"F","primary","white","latino","metropolis","unemployed",NA,"no partner",2,NA,"tuesday",FALSE,NA,0,508,0,120,0,0,0,0,0,0,0,0,436,0,0,0,60,0,70,0,0,0,42,1,NA
1011,NA,52,"F","secondary","black","non-latino","metropolis","employed","half-time","no partner",0,25,"tuesday",FALSE,NA,0,380,0,47,0,0,0,0,0,0,305,0,0,35,0,0,400,0,0,0,20,120,55,0,225
1012,NA,60,"F","secondary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"sunday",FALSE,NA,0,838,0,0,90,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,NA
1013,0,39,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",2,45,"monday",FALSE,NA,85,490,0,55,0,0,0,230,0,20,378,0,0,10,10,0,20,0,0,0,0,0,155,1,1538.46
1014,NA,53,"F","secondary","white","non-latino","metropolis","employed","full-time","partner",0,50,"wednesday",FALSE,NA,0,570,0,60,115,0,0,0,0,0,470,0,0,0,0,0,0,0,30,0,0,15,40,0,NA
1015,2,23,"F","secondary","white","non-latino","non-metropolis","unemployed",NA,"no partner",1,NA,"sunday",FALSE,NA,635,630,0,0,0,0,0,55,0,0,0,0,0,0,0,0,250,0,0,0,0,0,40,1,NA
1016,4,43,"M","secondary","other","latino","non-metropolis","not in the labor force",NA,"partner",2,NA,"saturday",FALSE,NA,720,420,0,5,0,0,0,0,0,0,0,0,0,0,0,0,343,0,420,0,0,0,167,1,NA
1017,9,47,"F","tertiary","white","non-latino","metropolis","employed","half-time","partner",2,8,"thursday",FALSE,NA,313,555,0,30,0,0,0,60,60,0,345,0,0,0,0,0,143,0,0,0,0,0,47,1,82
1018,13,16,"M","primary","other","non-latino","metropolis","not in the labor force",NA,"no partner",2,NA,"saturday",FALSE,NA,0,750,0,90,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,1,NA
1019,4,32,"M","secondary","white","non-latino","non-metropolis","unemployed",NA,"partner",2,NA,"thursday",FALSE,NA,30,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,NA
1020,1,28,"M","primary","white","non-latino","metropolis","employed","full-time","partner",3,59,"friday",FALSE,NA,135,390,0,5,0,0,0,0,0,0,680,0,0,15,0,0,0,0,0,0,0,0,95,1,NA
1021,NA,66,"F","secondary","white","non-latino","non-metropolis","not in the labor force",NA,"no partner",0,NA,"tuesday",FALSE,NA,0,480,0,0,5,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0,NA
1022,NA,19,"M","primary","black","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"tuesday",FALSE,NA,0,622,0,150,0,0,0,0,0,0,0,0,0,10,0,0,600,0,0,0,0,0,43,0,NA
1023,NA,77,"F","secondary","white","non-latino","metropolis","not in the labor force",NA,"partner",0,NA,"friday",FALSE,NA,0,450,0,75,0,0,0,0,0,0,0,0,0,0,0,0,375,0,43,0,0,0,40,0,NA
1024,1,23,"M","secondary","white","latino","metropolis","employed","full-time","partner",2,40,"sunday",FALSE,NA,485,600,0,0,270,0,0,235,0,0,0,0,0,0,0,0,155,0,0,0,0,0,60,1,365
1025,NA,64,"F","secondary","black","non-latino","metropolis","employed","half-time","no partner",0,30,"saturday",FALSE,NA,0,540,0,0,90,0,0,0,0,0,0,0,0,45,0,0,678,0,0,0,0,0,25,0,300
1026,NA,57,"M","secondary","other","non-latino","metropolis","not in the labor force",NA,"no partner",0,NA,"saturday",FALSE,NA,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,2,0,NA
